Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
525,442.779095375,0.009747425000000476,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
526,442.8340067749999,0.05491139999992356,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
527,442.85435155,0.0203447750000123,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
528,442.9292845499999,0.07493299999998726,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
529,442.933370325,0.004085775000021386,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
530,442.9796533,0.04628297500005374,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
531,443.004023775,0.02437047499995515,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
532,443.033713375,0.02968959999998333,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,77,,,,,,,,,
533,443.07877245,0.04505907500004014,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
534,443.13406575,0.05529330000001664,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,70,,,,,,,,,
535,443.16515975,0.03109399999993912,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
536,443.179212875,0.0140531250000322,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
537,443.2333882749999,0.05417539999996279,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
538,443.250333275,0.01694500000007792,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
539,443.324410375,0.07407709999995404,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
540,443.36963055,0.04522017500005404,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
541,443.36987265,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
542,443.37011485,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
543,443.370356875,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
544,443.370598975,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
545,443.370841075,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
546,443.371083175,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
547,443.371325275,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
548,443.371567375,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
549,443.371809575,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
550,443.3720516,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
551,443.3722937,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
552,443.3725357999999,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
553,443.3727779,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
554,443.37302,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
555,443.3732620999999,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
556,443.3735042999999,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
557,443.373746325,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
558,443.373988425,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
559,443.3742305249999,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
560,443.374472625,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
561,443.374714725,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
562,443.374956925,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
563,443.3751990249999,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
564,443.37544105,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
565,443.37568315,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
566,443.37592525,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
567,443.37616735,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
568,443.37640945,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
569,443.37665165,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
570,443.37689375,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
571,443.377135775,0.0002420249999204316,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
572,443.377377875,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
573,443.377619975,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
574,443.377862075,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
575,443.378104175,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
576,443.378346375,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
577,443.378588475,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
578,443.3788305,0.0002420249999204316,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
579,443.378962575,0.0001320750000104454,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
580,443.379204825,0.0002422500000420768,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
581,443.3794469,0.0002420749999600958,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
582,443.379688925,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
583,443.379931025,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
584,443.380173125,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
585,443.380415225,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
586,443.380657325,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
587,443.380899525,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
588,443.381141625,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
589,443.38138365,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
590,443.38162575,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
591,443.38186785,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
592,443.38210995,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
593,443.38235205,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
594,443.38259425,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
595,443.38283635,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
596,443.383078375,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
597,443.383320475,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
598,443.383562575,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
599,443.383804675,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
600,443.384046775,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
601,443.384288975,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
602,443.384531075,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
603,443.3847731,0.0002420250000341184,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
604,443.3850152,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
605,443.3852572999999,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
606,443.3854994,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
607,443.3857415,0.0002421000000367712,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
608,443.3859837,0.0002422000000024127,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
609,443.3862257999999,0.0002420999999230844,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
610,443.4000549,0.01382910000006632,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
611,443.403204925,0.003150024999968082,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,65,7D,2C,3C,12,4B,,,
612,443.420071525,0.01686660000007123,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,D8,13,45,,,
613,443.474763925,0.05469239999990805,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
614,443.5622341249999,0.08747019999998429,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
615,443.577101025,0.01486690000001545,387028160348160,F,F,HS CAN $441,HS CAN,,441,F,F,04,20,00,39,13,3A,00,00,,,
616,443.579443,0.002341975000035746,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
617,443.581303,0.001859999999965112,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,71,,,,,,,,,
618,443.6475406,0.06623760000002221,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
619,443.6808339,0.03329329999996844,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,7B,,,,,,,,,
620,443.7214692,0.04063530000007632,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
621,443.7800553999999,0.05858619999992243,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
622,443.780185475,0.0001300750000154949,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
623,443.7962125749999,0.01602709999997387,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
624,443.871925575,0.07571300000006431,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
625,443.880498975,0.008573400000045694,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
626,443.958347875,0.07784889999993538,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
627,443.97968455,0.02133667500004322,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
628,443.980820575,0.001136024999937035,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,6D,,,,,,,,,
629,444.04361645,0.06279587500000616,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
630,444.080153425,0.03653697499998998,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,5F,,,,,,,,,
631,444.117541,0.03738757500002521,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
632,444.179521,0.06198000000006232,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
633,444.180497,0.0009759999999232604,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,6E,,,,,,,,,
634,444.1922703,0.0117733000000726,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
635,444.2670134,0.07474309999997786,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
636,444.280860325,0.01384692499993889,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,60,,,,,,,,,
637,444.354517425,0.07365709999999126,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
638,444.3798059249999,0.02528849999998784,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
639,444.4396819,0.05987597500006814,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
640,444.514731025,0.07504912499996408,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
641,444.5679924,0.05326137500003369,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
642,444.568494575,0.0005021749999514213,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,73,00,00,00,34,07,01,,,
643,444.568780675,0.0002861000000393688,435406671970304,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,66,16,2C,3C,12,E4,,,
644,444.5690207,0.000240025000039168,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,D4,13,45,,,
645,444.5794482,0.0104274999999916,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
646,444.5843599,0.004911699999979646,363938416164864,F,F,HS CAN $441,HS CAN,,441,F,F,05,17,00,36,13,3A,02,00,,,
647,444.589447775,0.005087874999958331,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
648,444.655638075,0.06619030000001658,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
649,444.6640957249999,0.008457649999968453,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
650,444.750533825,0.0864381000000094,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
651,444.75599755,0.005463725000026898,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,6B,,,,,,,,,
652,444.779026175,0.02302862500005176,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
653,444.834772475,0.0557463000000098,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
654,444.856314775,0.0215422999999646,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
655,444.908727275,0.05241249999994579,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
656,444.9566572,0.04792992500006221,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,70,,,,,,,,,
657,444.979567675,0.02291047500000332,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
658,444.984813475,0.005245800000011513,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
659,445.05599945,0.07118597499993484,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,73,,,,,,,,,
660,445.0601812499999,0.004181799999969371,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
661,445.145641625,0.08546037500002512,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
662,445.15633885,0.0106972250000581,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,85,,,,,,,,,
663,445.179233325,0.02289447499993002,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
664,445.23085395,0.05162062500005504,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
665,445.2566979249999,0.02584397499992974,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,89,,,,,,,,,
666,445.304798725,0.04810080000004291,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
667,445.3787478,0.07394907499997316,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
668,445.379495875,0.0007480750000468106,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
669,445.44522425,0.0657283750000488,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,85,,,,,,,,,
670,445.454261825,0.00903757499997937,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
671,445.541666025,0.08740419999992355,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
672,445.5793375999999,0.0376715749999903,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
673,445.6269464999999,0.04760890000000018,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
674,445.6345259,0.007579400000054193,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,85,,,,,,,,,
675,445.64242735,0.007901449999963006,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,85,00,00,00,0E,07,01,,,
676,445.642687525,0.0002601749999939784,294669183614976,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,65,7D,2C,3C,12,E4,,,
677,445.642927625,0.0002401000000418208,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,D4,13,45,,,
678,445.6582983,0.01537067499998557,363938416164864,F,F,HS CAN $441,HS CAN,,441,F,F,04,B7,00,40,13,3A,03,00,,,
679,445.7019275,0.04362920000005488,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
680,445.734892725,0.0329652249999981,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,8C,,,,,,,,,
681,445.7766141,0.04172137499995188,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
682,445.780165975,0.003551874999971006,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
683,445.8341953749999,0.05402939999999035,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,8A,,,,,,,,,
684,445.851376275,0.01718090000008488,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
685,445.934533075,0.08315679999998338,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,85,,,,,,,,,
686,445.93780905,0.003275974999951359,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
687,445.97957025,0.04176119999999628,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
688,446.02196355,0.04239330000007158,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
689,446.03491855,0.01295499999991989,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,8B,,,,,,,,,
690,446.09593055,0.06101200000000517,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
691,446.134215425,0.03828487500004485,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,8C,,,,,,,,,
692,446.171705,0.03748957499999506,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
693,446.1801145,0.008409499999970649,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
694,446.2346039,0.05448940000007951,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,95,,,,,,,,,
695,446.2464512,0.01184729999999945,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
696,446.3338574,0.0874061999999185,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
697,446.3797804,0.04592300000001615,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
698,446.4180399,0.03825949999998102,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
699,446.4920631,0.07402320000005602,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
700,446.538947125,0.04688402499994027,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,AB,,,,,,,,,
701,446.56678725,0.02784012500001154,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
702,446.579324525,0.01253727499999968,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
703,446.64248445,0.06315992500003631,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
704,446.72928065,0.08679619999998067,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
705,446.73530435,0.006023700000014287,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,AB,,,,,,,,,
706,446.778941525,0.043637174999958,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
707,446.8142312499999,0.03528972499998418,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
708,446.8356255499999,0.0213942999999972,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,C0,,,,,,,,,
709,446.83613155,0.0005060000000867149,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0D,C0,00,00,00,08,07,01,,,
710,446.83639165,0.0002600999999913256,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,65,7D,2C,3C,12,E4,,,
711,446.8366317499999,0.0002400999999281339,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,D4,13,45,,,
712,446.851930525,0.0152987750000193,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,04,B7,00,40,13,3A,04,00,,,
713,446.888158125,0.03622760000007474,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
714,446.934968125,0.04680999999993674,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,C2,,,,,,,,,
715,446.962882425,0.02791430000002038,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
716,446.979545425,0.0166629999999941,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
717,447.035334625,0.05578920000004928,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,C6,,,,,,,,,
718,447.0376146,0.002279974999964906,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
719,447.1250868,0.08747219999997924,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
720,447.135636,0.01054920000001403,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,CB,,,,,,,,,
721,447.1790552,0.04341920000001664,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
722,447.210339125,0.03128392500002519,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
723,447.234963225,0.02462409999998272,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,D5,,,,,,,,,
724,447.28525795,0.05029472499995791,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
725,447.36003895,0.07478100000002996,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
726,447.378645775,0.01860682500000621,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
727,447.4347601,0.05611432499995317,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
728,447.504134175,0.06937407500004156,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,D5,,,,,,,,,
729,447.5212672,0.01713302500002101,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
730,447.5792753,0.05800809999993817,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
731,447.6053377,0.0260624000000007,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
732,447.6128173,0.007479600000010578,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,D5,,,,,,,,,
733,447.679322825,0.06650552500002505,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
734,447.7131741249999,0.03385129999992386,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0D,E9,,,,,,,,,
735,447.755035325,0.04186120000008486,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,08,,,,,,,,,
736,447.77864585,0.02361052499998096,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,00,C8,,,,,,,,,
