Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
4902,581.5895058,0.01547110000001339,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
4903,581.660429175,0.07092337500000667,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
4904,581.7409242499999,0.08049507499993069,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,8A,,,,,,,,,
4905,581.745718025,0.004793775000052847,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
4906,581.7910549999999,0.04533697499994105,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4907,581.8176328999999,0.0265779000000066,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,8A,,,,,,,,,
4908,581.821052725,0.003419825000037236,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4909,581.896901725,0.07584900000006201,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4910,581.9179681249999,0.02106639999988147,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,8A,,,,,,,,,
4911,581.971724625,0.05375650000007681,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4912,581.9920152999999,0.02029067499995563,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4913,582.018309275,0.02629397500004416,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,84,,,,,,,,,
4914,582.049333275,0.03102400000000216,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4915,582.1176334749999,0.06830019999995329,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,8A,,,,,,,,,
4916,582.1277808999999,0.01014742500001375,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4917,582.1917966999999,0.06401579999999285,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4918,582.205247825,0.01345112500007417,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4919,582.21800895,0.01276112499999726,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,8A,,,,,,,,,
4920,582.2807947499999,0.06278579999991507,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4921,582.3557938499999,0.07499910000001364,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4922,582.3923235,0.03652965000003406,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4923,582.4325588749999,0.040235374999952,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4924,582.4418182749999,0.009259400000019014,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,94,,,,,,,,,
4925,582.475647375,0.03382910000004813,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,94,00,00,00,2B,07,01,,,
4926,582.50877325,0.03312587499999608,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4927,582.5092334249999,0.0004601749999437743,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,11,67,,,
4928,582.526106125,0.01687270000002172,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,6B,13,45,,,
4929,582.56643865,0.04033252500005346,67371008,F,F,HS CAN $441,HS CAN,,441,F,F,03,70,00,A9,14,00,12,00,,,
4930,582.5840636749999,0.0176250249999157,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4931,582.592747125,0.008683450000035009,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,94,,,,,,,,,
4932,582.5941131249999,0.001365999999961787,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4933,582.6690080999999,0.07489497500000653,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4934,582.6930842749999,0.0240761750000047,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,94,,,,,,,,,
4935,582.7507464749999,0.05766219999998157,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4936,582.792398975,0.04165250000005472,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,98,,,,,,,,,
4937,582.7939049749999,0.001505999999949381,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4938,582.8276449,0.03373992500007716,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4939,582.892791375,0.06514647500000592,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,98,,,,,,,,,
4940,582.9031828,0.01039142499996615,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4941,582.9781797749999,0.07499697499997637,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4942,582.99314465,0.01496487500003241,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,98,,,,,,,,,
4943,582.994852725,0.001708075000010467,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4944,583.0664340249999,0.07158129999993434,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4945,583.09244785,0.02601382500006366,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,91,,,,,,,,,
4946,583.1481782249999,0.05573037499993916,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4947,583.1927686,0.044590375000098,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,98,,,,,,,,,
4948,583.1980763749999,0.00530777499989199,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4949,583.225064675,0.02698830000008456,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4950,583.3004817,0.07541702499997882,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4951,583.375472675,0.07499097499999152,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4952,583.3853141,0.009841424999990522,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,98,,,,,,,,,
4953,583.3988972999999,0.01358319999997093,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4954,583.4670348249999,0.06813752499999737,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4955,583.548645425,0.08161060000009002,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4956,583.5655360249999,0.01689059999989695,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,98,,,,,,,,,
4957,583.5846485249999,0.01911250000000564,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,98,00,00,00,2B,07,01,,,
4958,583.584914625,0.0002661000000898639,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,11,67,,,
4959,583.5851527249999,0.0002380999999331834,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,68,13,45,,,
4960,583.599035925,0.01388320000000931,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4961,583.6005619499999,0.001526024999975562,492581276614656,F,F,HS CAN $441,HS CAN,,441,F,F,03,70,00,A9,14,00,14,62,,,
4962,583.62624635,0.02568440000004557,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4963,583.6658731499999,0.03962679999995089,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,97,,,,,,,,,
4964,583.701794825,0.03592167500005416,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4965,583.7662333999999,0.0644385749999401,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,98,,,,,,,,,
4966,583.7769125999999,0.01067920000002687,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4967,583.8002071999999,0.02329459999998562,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4968,583.8650369,0.06482970000001842,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4969,583.8655190999999,0.0004821999999649051,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,97,,,,,,,,,
4970,583.946781775,0.08126267500006179,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4971,583.965890275,0.01910850000001574,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,94,,,,,,,,,
4972,584.0033017999999,0.03741152499992495,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4973,584.0233765749999,0.02007477500001187,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4974,584.0662150749999,0.04283850000001621,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,97,,,,,,,,,
4975,584.099224975,0.03300990000002457,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4976,584.1655773,0.0663523250000253,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,97,,,,,,,,,
4977,584.1776566,0.01207929999998214,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4978,584.2042589,0.02660230000003594,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4979,584.2518137999999,0.04755489999990914,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4980,584.2659146999999,0.01410090000001674,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,9E,,,,,,,,,
4981,584.3266527,0.06073800000001484,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4982,584.4016438,0.07499110000003384,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4983,584.4050317,0.003387900000006994,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4984,584.4797867249999,0.07475502499994491,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4985,584.5551402999999,0.07535357500000828,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A5,,,,,,,,,
4986,584.5580842999999,0.002943999999956759,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4987,584.6079351,0.04985080000005837,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4988,584.634621325,0.02668622500004858,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4989,584.6406750499999,0.006053724999901533,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A5,,,,,,,,,
4990,584.65472185,0.01404680000007374,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,A5,00,00,00,2B,07,01,,,
4991,584.65498595,0.0002640999999812266,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,11,67,,,
4992,584.65522415,0.0002382000000125118,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,68,13,45,,,
4993,584.670528925,0.01530477500000416,492581276614656,F,F,HS CAN $441,HS CAN,,441,F,F,03,70,00,A9,14,00,16,00,,,
4994,584.711024225,0.04049529999997503,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4995,584.74100185,0.029977625000015,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A5,,,,,,,,,
4996,584.7861469249999,0.0451450749999367,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
4997,584.809387425,0.02324050000004263,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
4998,584.8403628249999,0.03097539999998844,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,AB,,,,,,,,,
4999,584.8707329499999,0.03037012499999036,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5000,584.9406588749999,0.06992592500000683,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A5,,,,,,,,,
5001,584.952346275,0.01168740000002799,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5002,585.0091106,0.05676432500001738,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5003,585.029181375,0.02007077500002197,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5004,585.0410324999999,0.01185112499990737,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A1,,,,,,,,,
5005,585.105028225,0.06399572500004069,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5006,585.1403753,0.03534707500000422,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A5,,,,,,,,,
5007,585.1801468,0.03977150000002894,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5008,585.2100068999999,0.02986009999995076,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5009,585.240700375,0.03069347500002096,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A5,,,,,,,,,
5010,585.268044575,0.02734420000001592,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5011,585.3496552749999,0.08161069999994197,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5012,585.4128510749999,0.06319580000001679,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5013,585.42630435,0.01345327500007443,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5014,585.44716265,0.02085829999998623,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A6,,,,,,,,,
5015,585.50215105,0.05498839999995653,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5016,585.58015195,0.07800090000000637,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5017,585.6134071499999,0.03325519999998505,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A6,,,,,,,,,
5018,585.613577225,0.0001700750000281914,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5019,585.66830565,0.05472842500000752,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5020,585.713753925,0.04544827500001247,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,A8,,,,,,,,,
5021,585.7247269999999,0.01097307499992439,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,A8,00,00,00,2B,07,01,,,
5022,585.7249850999999,0.0002580999999963751,422212532436992,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,11,B3,,,
5023,585.7252232,0.0002381000000468702,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,68,13,45,,,
5024,585.7403479999999,0.01512479999996685,354042811514880,F,F,HS CAN $441,HS CAN,,441,F,F,03,84,00,A9,14,00,17,00,,,
5025,585.7505235,0.0101755000000594,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5026,585.8141099999999,0.06358649999992849,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,AF,,,,,,,,,
5027,585.8142401,0.0001301000000921704,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5028,585.8277134,0.01347329999998692,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5029,585.9034303249999,0.07571692499993787,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5030,585.9134217249999,0.00999139999998988,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,AF,,,,,,,,,
5031,585.9782534249999,0.06483170000001337,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5032,586.013780525,0.03552710000008119,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,AF,,,,,,,,,
5033,586.01504655,0.001266024999949878,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5034,586.06646515,0.05141860000003362,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5035,586.1141351499999,0.04766999999992549,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B2,,,,,,,,,
5036,586.1482089499999,0.03407379999998738,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5037,586.21348345,0.06527450000010049,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,AE,,,,,,,,,
5038,586.2182231749999,0.004739724999922146,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5039,586.2250588749999,0.006835700000010547,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5040,586.3007738499999,0.07571497499998259,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5041,586.375466925,0.07469307500002742,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5042,586.4188742,0.0434072750000496,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5043,586.4230219999999,0.004147799999941526,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B1,,,,,,,,,
5044,586.463677275,0.04065527500006283,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5045,586.545287975,0.08161069999994197,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5046,586.61848315,0.07319517500002348,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5047,586.62196095,0.003477800000041498,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5048,586.697421975,0.07546102499998142,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5049,586.729343375,0.03192139999998744,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B2,,,,,,,,,
5050,586.772542575,0.04319920000000366,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5051,586.80735165,0.0348090749999983,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B2,,,,,,,,,
5052,586.819393075,0.01204142500000671,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5053,586.864064175,0.04467109999995955,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5054,586.9076805,0.04361632500001633,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B9,,,,,,,,,
5055,586.91250615,0.004825650000043424,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,B9,00,00,00,2B,07,01,,,
5056,586.91276825,0.0002620999999862761,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,11,B3,,,
5057,586.9130063499999,0.0002380999999331834,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,68,13,45,,,
5058,586.92813115,0.01512480000008054,67371008,F,F,HS CAN $441,HS CAN,,441,F,F,03,84,00,A9,14,00,17,00,,,
5059,586.946452025,0.01832087499997215,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5060,587.007022925,0.06057090000001608,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B3,,,,,,,,,
5061,587.019780225,0.01275729999997566,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5062,587.0232500249999,0.003469799999948009,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5063,587.0987110499999,0.07546102499998142,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5064,587.10739655,0.008685500000069624,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,BD,,,,,,,,,
5065,587.173842125,0.06644557499998882,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5066,587.207703325,0.03386120000004666,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,C1,,,,,,,,,
5067,587.220798525,0.01309519999995246,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5068,587.265489625,0.04469110000002274,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5069,587.3070501999999,0.04156057499994858,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,BD,,,,,,,,,
5070,587.3505512749999,0.04350107499999467,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5071,587.4238504499999,0.07329917499998828,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5072,587.4273264249999,0.003475975000014842,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5073,587.5061112249999,0.07878479999999399,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5074,587.584420025,0.07830880000005891,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5075,587.590787625,0.006367599999975937,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,C1,,,,,,,,,
5076,587.6247634,0.03397577500004445,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5077,587.666138725,0.04137532499998997,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5078,587.6899887249999,0.02384999999992488,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B9,,,,,,,,,
5079,587.747882925,0.05789420000007794,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5080,587.790341425,0.04245849999995244,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,B5,,,,,,,,,
5081,587.8242232,0.0338817750000544,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5082,587.8276931749999,0.003469974999916303,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5083,587.89069175,0.06299857500005146,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,BB,,,,,,,,,
5084,587.90358095,0.01288920000001781,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5085,587.97858205,0.07500110000000859,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5086,587.981503975,0.002921925000009651,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,03,BB,00,00,00,2B,07,01,,,
5087,587.981766075,0.0002620999999862761,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5F,D4,2C,3C,11,B3,,,
5088,587.9820020999999,0.0002360249999355802,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,66,13,45,,,
5089,587.9972568749999,0.01525477500001671,492581276614656,F,F,HS CAN $441,HS CAN,,441,F,F,03,84,00,A9,14,00,18,62,,,
5090,588.00106075,0.003803875000016888,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,BB,,,,,,,,,
5091,588.025897075,0.02483632500002386,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5092,588.067572475,0.041675400000031,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5093,588.1006436499999,0.03307117499991818,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,BE,,,,,,,,,
5094,588.155950125,0.0553064750000658,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5095,588.1999363499999,0.04398622499991234,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,C1,,,,,,,,,
5096,588.225770775,0.0258344250000846,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5097,588.2468694749999,0.02109869999992498,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5098,588.3002889749999,0.05341950000001816,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,C2,,,,,,,,,
5099,588.321707675,0.02141870000002655,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5100,588.396706675,0.074999000000048,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5101,588.434026275,0.0373195999999325,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5102,588.471673875,0.03764760000001388,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5103,588.5489687749999,0.07729489999996986,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5104,588.5963488499999,0.04738007499997821,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,CA,,,,,,,,,
5105,588.6248230499999,0.02847420000000511,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5106,588.634944475,0.0101214250000794,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5107,588.6801948,0.0452503249999836,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,CA,,,,,,,,,
5108,588.7025052499999,0.02231044999996357,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5109,588.78049455,0.07798930000001292,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,CE,,,,,,,,,
5110,588.7808126499999,0.0003180999999585765,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5111,588.834813175,0.05400052500010588,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
5112,588.868847,0.03403382499993768,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5113,588.8808921249999,0.012045124999986,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,CE,,,,,,,,,
5114,588.94326395,0.06237182500001381,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
5115,588.98018095,0.03691700000001674,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,CE,,,,,,,,,
5116,589.019118325,0.0389373750000459,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
