Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
1454,-66.04581279999999,0.08161657499999819,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1455,-66.0331657,0.01264709999999525,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,C4,,,,,,,,,
1456,-65.960094375,0.0730713250000008,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1457,-65.933888475,0.02620589999999368,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,D2,,,,,,,,,
1458,-65.9265609,0.007327575000005027,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,4E,,,,,,,,,
1459,-65.86505879999999,0.06150210000001266,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1460,-65.8334974,0.03156139999998686,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,D1,,,,,,,,,
1461,-65.76609182499999,0.06740557500000932,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1462,-65.7331604,0.0329314249999868,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,D2,,,,,,,,,
1463,-65.72591689999999,0.007243500000015501,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,4A,,,,,,,,,
1464,-65.67766599999999,0.04825089999999932,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1465,-65.603004825,0.07466117499998859,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1466,-65.52490792499999,0.07809690000000558,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,4A,,,,,,,,,
1467,-65.52139812499999,0.003509800000003338,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1468,-65.457659425,0.0637386999999876,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,D2,,,,,,,,,
1469,-65.43902052499999,0.01863890000001334,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1470,-65.35739335,0.08162717499999417,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,DF,,,,,,,,,
1471,-65.353313625,0.00407972499999687,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1472,-65.32310952499999,0.03020410000000595,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,4A,,,,,,,,,
1473,-65.27576852499999,0.04734100000000296,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1474,-65.2570059,0.0187626249999937,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,DB,,,,,,,,,
1475,-65.2007156,0.05629030000000057,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1476,-65.15669927499999,0.04401632500000119,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E1,,,,,,,,,
1477,-65.12493127499999,0.03176799999999958,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1478,-65.1213353,0.003595974999996088,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,45,,,,,,,,,
1479,-65.0801907,0.04114459999999554,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,E1,00,01,01,48,07,01,,,
1480,-65.07992859999999,0.0002621000000146978,431008625459200,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,58,F9,2C,3C,0E,DE,,,
1481,-65.07969449999999,0.0002341000000001258,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,4E,13,45,,,
1482,-65.0642517,0.01544279999998821,362838904537088,F,F,HS CAN $441,HS CAN,,441,F,F,09,A2,01,E1,14,0B,08,00,,,
1483,-65.0563482,0.007903499999997621,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E2,,,,,,,,,
1484,-65.04986852499999,0.006479675000008456,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1485,-64.967213925,0.08265459999999791,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1486,-64.95699662499999,0.01021730000000787,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E5,,,,,,,,,
1487,-64.92014494999999,0.03685167499999409,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,44,,,,,,,,,
1488,-64.889468975,0.03067597499999408,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1489,-64.85665754999999,0.03281142500000556,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E9,,,,,,,,,
1490,-64.81037054999999,0.04628700000000663,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1491,-64.75630502499999,0.05406552499999862,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E5,,,,,,,,,
1492,-64.72493309999999,0.03137192500000196,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1493,-64.72103519999999,0.003897899999998344,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,44,,,,,,,,,
1494,-64.63997449999999,0.08106069999999477,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1495,-64.5477305,0.09224399999999378,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1496,-64.51733039999999,0.03040010000000848,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,15,,,,,,,,,
1497,-64.463920925,0.05340947499999515,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E5,,,,,,,,,
1498,-64.44951169999999,0.01440922500000852,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1499,-64.360495525,0.08901617499998338,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1500,-64.31714029999999,0.04335522500001332,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,15,,,,,,,,,
1501,-64.282850475,0.03428982499998768,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1502,-64.24840327499999,0.03444720000001666,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E5,,,,,,,,,
1503,-64.20736589999999,0.04103737500000193,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1504,-64.149078725,0.05828717499998959,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,EB,,,,,,,,,
1505,-64.12162444999998,0.02745427500001086,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1506,-64.114704875,0.006919574999983524,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,15,,,,,,,,,
1507,-64.04873434999999,0.06597052500001155,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,F2,,,,,,,,,
1508,-64.03666494999999,0.01206940000000145,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1509,-63.948390375,0.08827457499999269,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,EA,,,,,,,,,
1510,-63.9410268,0.0073635749999994,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1511,-63.91407239999999,0.02695440000000104,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,11,,,,,,,,,
1512,-63.892376175,0.02169622499999946,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,EA,00,01,01,46,07,01,,,
1513,-63.892110075,0.0002660999999974934,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,58,F9,2C,3C,0E,DE,,,
1514,-63.89187187499999,0.0002382000000054063,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,4C,13,45,,,
1515,-63.876317175,0.01555469999999559,422212532436992,F,F,HS CAN $441,HS CAN,,441,F,F,09,A2,01,E1,14,0B,08,62,,,
1516,-63.849067375,0.02724979999999988,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,EC,,,,,,,,,
1517,-63.84214164999999,0.006925725000002103,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1518,-63.752971575,0.08917007499999841,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1519,-63.71287405,0.04009752500000019,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,13,,,,,,,,,
1520,-63.67858224999999,0.03429180000000542,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1521,-63.66748505,0.0110971999999947,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E9,,,,,,,,,
1522,-63.59979342499999,0.06769162500000192,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1523,-63.51417302499999,0.08562040000000337,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1524,-63.51051914999999,0.003653874999997697,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,14,,,,,,,,,
1525,-63.475358075,0.03516107499999776,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E9,,,,,,,,,
1526,-63.42903297499999,0.04632510000000423,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1527,-63.37500954999999,0.05402342499999691,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,DF,,,,,,,,,
1528,-63.35051907499999,0.02449047500000034,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1529,-63.30982157499999,0.04069750000000028,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,14,,,,,,,,,
1530,-63.27644777499999,0.03337379999999968,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1531,-63.274625675,0.001822099999998272,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E5,,,,,,,,,
1532,-63.20067045,0.07395522499999885,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1533,-63.17530654999999,0.0253639000000021,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,E2,,,,,,,,,
1534,-63.12487775,0.05042879999999883,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1535,-63.10802474999999,0.01685300000000467,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,16,,,,,,,,,
1536,-63.074949475,0.03307527499999452,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,DF,,,,,,,,,
1537,-63.03315625,0.04179322499999927,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1538,-62.97464905,0.05850720000000109,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,D4,,,,,,,,,
1539,-62.94410107499999,0.03054797500000461,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1540,-62.907365375,0.03673569999999416,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,1A,,,,,,,,,
1541,-62.875293875,0.0320715000000007,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,D2,,,,,,,,,
1542,-62.869948175,0.005345699999999454,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1543,-62.82236007499999,0.0475881000000058,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,D2,00,01,01,44,07,01,,,
1544,-62.82209797499999,0.000262100000000487,505775416147968,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,59,91,2C,3C,0F,2A,,,
1545,-62.82186394999999,0.000234024999997473,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,4B,13,45,,,
1546,-62.80631917499999,0.01554477500000218,503576392892416,F,F,HS CAN $441,HS CAN,,441,F,F,09,A1,01,F0,14,0B,0A,00,,,
1547,-62.790466075,0.01585309999999396,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1548,-62.77497317499999,0.01549290000000525,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,CF,,,,,,,,,
1549,-62.7054578,0.06951537499999461,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,1C,,,,,,,,,
1550,-62.70195182499999,0.003505975000003048,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1551,-62.61957529999999,0.08237652500000081,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1552,-62.544798175,0.07477712499999711,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1553,-62.5037968,0.04100137500000045,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,B5,B5,,,,,,,,,
1554,-62.467111125,0.03668567500000108,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1555,-62.46666092499999,0.0004502000000030648,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,CF,,,,,,,,,
1556,-62.3913398,0.07532112499999499,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1557,-62.37149742499999,0.01984237500000319,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,CF,,,,,,,,,
1558,-62.31555099999999,0.05594642500000191,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1559,-62.30195977499999,0.01359122499999898,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,B5,B5,,,,,,,,,
1560,-62.27217017499999,0.02978960000000086,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,CA,,,,,,,,,
1561,-62.22739107499999,0.04477909999999952,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1562,-62.17185565,0.05553542499999509,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,C7,,,,,,,,,
1563,-62.13833585,0.03351980000000054,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1564,-62.101254125,0.03708172500000018,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,B3,B7,,,,,,,,,
1565,-62.07151054999999,0.0297435750000048,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,C5,,,,,,,,,
1566,-62.06382295,0.007687599999997019,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1567,-61.98483415,0.07898879999999764,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1568,-61.97216105,0.01267310000000066,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,C1,,,,,,,,,
1569,-61.90025367499999,0.07190737500000211,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,B2,B8,,,,,,,,,
1570,-61.896743775,0.003509899999997401,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1571,-61.87180774999999,0.02493602500000236,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,BB,,,,,,,,,
1572,-61.814261575,0.05754617499999881,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1573,-61.771459075,0.04280250000000052,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,B2,,,,,,,,,
1574,-61.745171175,0.02628789999999981,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,B2,00,01,01,44,07,01,,,
1575,-61.74490707499999,0.0002641000000025428,422212532436992,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,59,91,2C,3C,0F,77,,,
1576,-61.744671,0.0002360749999965606,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,9A,49,13,45,,,
1577,-61.7217224,0.02294859999999943,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1578,-61.697861925,0.02386047499999932,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,B0,BA,,,,,,,,,
1579,-61.62312479999999,0.07473712500000573,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1580,-61.534194625,0.08893017499999445,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1581,-61.497410925,0.03678370000000086,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AD,BD,,,,,,,,,
1582,-61.468715225,0.0286957000000001,362838904537088,F,F,HS CAN $441,HS CAN,,441,F,F,09,97,01,F3,14,0B,0B,00,,,
1583,-61.46450542499999,0.00420980000000526,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,AC,,,,,,,,,
1584,-61.45952559999999,0.004979824999999494,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1585,-61.3808348,0.07869079999999684,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1586,-61.366013825,0.01482097499999924,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,A9,,,,,,,,,
1587,-61.29595042499999,0.07006340000000222,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AB,BF,,,,,,,,,
1588,-61.29244462499999,0.003505799999999226,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1589,-61.265606725,0.02683789999999675,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,A7,,,,,,,,,
1590,-61.2099583,0.05564842500000111,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1591,-61.16527597499999,0.04468232500000368,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,99,,,,,,,,,
1592,-61.13475989999999,0.03051607500000131,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1593,-61.09406449999999,0.04069539999999705,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AA,C0,,,,,,,,,
1594,-61.06598279999999,0.02808170000000132,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,97,,,,,,,,,
1595,-61.056949325,0.009033474999995406,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1596,-60.98157615,0.07537317500000285,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1597,-60.96563335,0.0159427999999977,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,90,,,,,,,,,
1598,-60.90578922499999,0.05984412500000502,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1599,-60.89219609999999,0.01359312499999987,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,A5,C5,,,,,,,,,
1600,-60.86525019999999,0.02694590000000119,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,93,,,,,,,,,
1601,-60.8173293,0.04792089999999405,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1602,-60.76596547499999,0.05136382500000281,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,89,,,,,,,,,
1603,-60.72827194999999,0.03769352500000167,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1604,-60.69148625,0.03678569999999582,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,A3,C7,,,,,,,,,
1605,-60.65058085,0.04090539999999976,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1606,-60.57520782499999,0.07537302500000465,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1607,-60.52447789999999,0.05072992499999884,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,89,00,01,01,44,07,01,,,
1608,-60.507567325,0.01691057499999715,435406671970304,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5A,2A,2C,3C,0F,C3,,,
1609,-60.49070664999999,0.01686067500000377,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,48,13,45,,,
1610,-60.49016857499999,0.00053807500000147,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,A0,C8,,,,,,,,,
1611,-60.4866566,0.003511974999995004,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1612,-60.4479858,0.03867079999999845,507974439403520,F,F,HS CAN $441,HS CAN,,441,F,F,09,93,02,02,14,0B,0C,62,,,
1613,-60.443772,0.004213800000002266,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,92,,,,,,,,,
1614,-60.40365067499999,0.0401213250000012,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1615,-60.34508354999999,0.05856712500000327,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,8C,,,,,,,,,
1616,-60.32513475,0.01994879999999455,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1617,-60.28780712499999,0.0373276250000032,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,58,C8,,,,,,,,,
1618,-60.24750769999999,0.04029942500000061,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1619,-60.24472972499999,0.002777975000000765,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,85,,,,,,,,,
1620,-60.17204049999999,0.07268922499999775,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1621,-60.1443927,0.02764779999999689,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,85,,,,,,,,,
1622,-60.096245825,0.04814687500000048,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1623,-60.08607227499999,0.01017355000000464,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,54,C8,,,,,,,,,
1624,-60.04508572499999,0.04098654999999951,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,83,,,,,,,,,
1625,-60.00789602499999,0.037189699999999,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1626,-59.94474329999999,0.06315272500000191,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7D,,,,,,,,,
1627,-59.918840925,0.02590237499999404,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1628,-59.88549102499999,0.0333499000000046,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,52,C8,,,,,,,,,
1629,-59.84436649999999,0.04112452500000074,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7C,,,,,,,,,
1630,-59.84158047499999,0.002786024999998915,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1631,-59.76580549999999,0.07577497500000163,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1632,-59.74503499999999,0.02077049999999758,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,78,,,,,,,,,
1633,-59.68098519999999,0.06404979999999938,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,50,C8,,,,,,,,,
1634,-59.6774753,0.003509899999997401,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1635,-59.5951087,0.08236660000000029,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1636,-59.496545125,0.09856357500000002,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1637,-59.47940015,0.01714497500000078,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,50,C8,,,,,,,,,
1638,-59.452846325,0.02655382500000058,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7F,,,,,,,,,
1639,-59.40815119999999,0.04469512500000406,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1640,-59.368518425,0.03963277499999407,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,7F,00,01,01,44,07,01,,,
1641,-59.35161175,0.01690667500000132,492581276614656,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,5A,2A,2C,3C,10,0F,,,
1642,-59.33475305,0.01685870000000023,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,46,13,45,,,
1643,-59.332789025,0.001964024999999481,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1644,-59.27832454999999,0.05446447500000318,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,52,C8,,,,,,,,,
1645,-59.25428012499999,0.02404442499999959,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1646,-59.23065794999999,0.02362217499999986,503576392892416,F,F,HS CAN $441,HS CAN,,441,F,F,09,8F,02,06,14,0B,0E,00,,,
1647,-59.22645415,0.004203799999999092,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7F,,,,,,,,,
1648,-59.16838995,0.0580641999999969,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1649,-59.12661534999999,0.04177460000000366,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,87,,,,,,,,,
1650,-59.082956225,0.0436591249999978,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1651,-59.07910834999999,0.003847875000005274,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,55,C8,,,,,,,,,
1652,-59.027242575,0.05186577499999601,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,8E,,,,,,,,,
1653,-59.00516207499999,0.02208050000000128,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1654,-58.930192975,0.07496909999999701,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0B,AB,,,,,,,
1655,-58.926917,0.003275975000001097,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,83,,,,,,,,,
