Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
27,-113.365597725,0.06909147500000756,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
28,-113.3461931,0.01940462499999285,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7D,,,,,,,,,
29,-113.280441425,0.06575167500000134,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
30,-113.2458222,0.03461922500000014,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,77,,,,,,,,,
31,-113.206225475,0.03959672499999556,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,77,00,00,00,FC,07,01,,,
32,-113.205965375,0.0002601000000055364,422212532436992,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,4F,6F,2C,3C,08,76,,,
33,-113.205731275,0.0002341000000001258,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,63,13,45,,,
34,-113.19196595,0.01376532499999428,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
35,-113.190189975,0.00177597500000104,362838904537088,F,F,HS CAN $441,HS CAN,,441,F,F,0A,83,00,F8,14,0A,14,00,,,
36,-113.1454717,0.04471827500000814,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,75,,,,,,,,,
