GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:35:19,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
fixPointLat,44.39710999,,,,,,,,,,,,,,,,,,,,,,,
fixPointLon,-110.5308838,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3723437,196.72,195.8,209.32,88.3,197,20.549,-0.214,0.143,8,2.2,2.21,1.15,2.21,0,48,132,148,44.39650345,-110.5313568,9.1,41.77,0,3723187,0
3723487,196.72,195,209.32,88.1,196.95,20.538,-0.241,0.071,7,2.2,2.21,1.15,2.21,0,48,133,147,44.39650345,-110.5313568,9.1,41.77,0,3723237,0
3723537,196.72,195,209.32,88.1,196.91,20.528,-0.252,0.012,5,2.2,2.21,1.15,2.21,0,48,135,145,44.39650345,-110.5313568,9.1,41.77,0,3723287,0
3723587,196.72,195,209.32,87.9,196.89,20.52,-0.168,-0.021,4,2.2,2.21,1.15,2.21,0,48,136,144,44.39650345,-110.5313568,9.1,41.77,0,3723337,0
3723637,196.72,195,209.32,87.9,196.87,20.512,-0.172,-0.049,4,2.2,2.21,1.15,2.21,0,48,136,144,44.39650345,-110.5313568,9.1,41.77,0,3723387,0
3723687,196.72,193.8,209.32,87.4,196.86,20.505,-0.149,-0.066,3,2.2,2.21,1.15,2.21,0,48,137,143,44.39650345,-110.5313568,9.1,41.77,0,3723437,0
3723737,196.72,193.8,209.32,87.4,196.76,20.503,-1.099,-0.259,0,2.2,2.21,1.15,2.21,0,48,140,140,44.39650345,-110.5313644,9.1,41.77,0,3723487,0
3723787,196.72,193.8,209.32,87.2,196.8,20.499,0.003,-0.208,0,2.2,2.21,1.15,2.21,0,48,140,140,44.39650345,-110.5313644,9.1,41.77,0,3723537,0
3723837,196.72,193.8,209.32,87.2,196.83,20.494,0.08,-0.153,1,2.2,2.21,1.15,2.21,0,48,139,141,44.39650345,-110.5313644,9.1,41.77,0,3723587,0
3723887,196.72,193.5,209.32,87.2,196.87,20.486,0.118,-0.1,3,2.2,2.21,1.15,2.21,0,48,137,143,44.39650345,-110.5313644,9.1,41.77,0,3723637,0
3723937,196.72,193.5,209.32,87.2,196.92,20.477,0.335,-0.017,4,2.2,2.21,1.15,2.21,0,48,136,144,44.39649963,-110.5313644,9.1,41.77,0,3723687,0
3723987,196.72,193.5,209.32,86.8,196.96,20.465,0.381,0.06,6,2.2,2.21,1.15,2.21,0,48,134,146,44.39649963,-110.5313644,9.1,41.77,0,3723737,0
3724037,196.72,193.5,209.32,86.8,196.98,20.452,0.347,0.115,7,2.2,2.21,1.15,2.21,0,48,133,147,44.39649963,-110.5313644,9.1,41.77,0,3723787,0
3724087,196.72,193.4,209.32,86.8,197.01,20.437,0.484,0.186,9,2.2,2.21,1.15,2.21,0,48,131,149,44.39649963,-110.5313644,9.1,41.77,0,3723837,0
3724137,196.72,193.4,209.32,86.8,197.03,20.422,0.492,0.245,11,2.2,2.21,1.15,2.21,0,48,129,151,44.39649963,-110.5313644,9.1,41.77,0,3723887,0
3724187,196.72,193.4,209.32,87.4,197.05,20.405,0.53,0.301,12,2.2,2.21,1.15,2.21,0,48,128,152,44.39649963,-110.5313644,9.1,41.77,0,3723937,0
3724237,196.72,193.4,209.32,87.4,197.05,20.389,0.461,0.332,13,2.2,2.21,1.15,2.21,0,48,127,153,44.39649963,-110.5313644,9.1,41.77,0,3723987,0
3724287,196.72,194.1,209.32,87.6,197.02,20.374,0.305,0.329,13,2.2,2.21,1.15,2.21,0,48,127,153,44.39649963,-110.5313644,9.1,41.77,0,3724037,0
3724337,196.72,194.1,209.32,87.6,196.99,20.361,0.148,0.296,12,2.2,2.21,1.15,2.21,0,48,128,152,44.39649582,-110.5313644,9.1,41.77,0,3724087,0
3724387,196.72,194.1,209.32,88.1,196.94,20.349,0.038,0.249,11,2.2,2.21,1.15,2.21,0,48,129,151,44.39649582,-110.5313644,9.1,41.77,0,3724137,0
3724437,196.72,194.1,209.32,88.1,196.99,20.336,0.82,0.358,13,2.2,2.21,1.15,2.21,0,48,127,153,44.39649582,-110.5313644,9.1,41.77,0,3724187,0
3724487,196.72,194.7,209.32,88.1,196.9,20.327,-0.336,0.228,11,2.2,2.21,1.15,2.21,0,48,129,151,44.39649582,-110.5313644,9.1,41.77,0,3724237,0
3724537,196.72,194.7,209.32,88.1,196.81,20.322,-0.458,0.1,8,2.2,2.21,1.15,2.21,0,48,132,148,44.39649582,-110.5313644,9.1,41.77,0,3724287,0
3724587,196.72,194.7,209.32,88.2,196.73,20.322,-0.668,-0.043,4,2.2,2.21,1.15,2.21,0,48,136,144,44.39649582,-110.5313644,9.1,41.77,0,3724337,0
3724637,196.72,194.7,209.32,88.2,196.65,20.325,-0.76,-0.177,1,2.2,2.21,1.15,2.21,0,48,139,141,44.39649582,-110.5313644,9.1,41.77,0,3724387,0
3724687,196.72,194.8,209.32,87.8,196.59,20.332,-0.878,-0.308,-1,2.2,2.21,1.15,2.21,0,48,141,139,44.39649582,-110.5313644,9.1,41.77,0,3724437,0
3724737,196.72,194.8,209.32,87.8,196.54,20.341,-0.931,-0.424,-3,2.2,2.21,1.15,2.21,0,48,143,137,44.396492,-110.5313721,9.1,41.77,0,3724487,0
3724787,196.72,194.8,209.32,88.3,196.5,20.352,-1.008,-0.533,-6,2.2,2.21,1.15,2.21,0,48,146,134,44.396492,-110.5313721,9.1,41.77,0,3724537,0
3724837,196.72,194.8,209.32,88.3,196.47,20.364,-1.046,-0.628,-8,2.2,2.21,1.15,2.21,0,48,148,132,44.396492,-110.5313721,9.1,41.77,0,3724587,0
3724887,196.72,194.9,209.32,87.4,196.46,20.377,-0.988,-0.695,-10,2.2,2.21,1.15,2.21,0,48,150,130,44.396492,-110.5313721,9.1,41.77,0,3724637,0
3724937,196.72,194.9,209.32,87.4,196.48,20.389,-0.878,-0.729,-11,2.2,2.21,1.15,2.21,0,48,151,129,44.39648819,-110.5313721,9.1,41.77,0,3724687,0
3724987,196.72,194.9,209.32,87.4,196.5,20.4,-0.851,-0.751,-11,2.2,2.21,1.15,2.21,0,48,151,129,44.39648819,-110.5313721,9.1,41.77,0,3724737,0
3725037,196.72,194.9,209.32,87.4,196.54,20.409,-0.699,-0.74,-11,2.2,2.21,1.15,2.21,0,48,151,129,44.39648819,-110.5313721,9.1,41.77,0,3724787,0
3725087,196.72,193.9,209.32,87.4,196.6,20.415,-0.523,-0.698,-10,2.2,2.21,1.15,2.21,0,48,150,130,44.39648819,-110.5313721,9.1,41.77,0,3724837,0
3725137,196.72,193.9,209.32,87.4,196.68,20.417,-0.294,-0.621,-9,2.2,2.21,1.15,2.21,0,48,149,131,44.39648819,-110.5313721,9.1,41.77,0,3724887,0
3725187,196.72,193.9,209.32,87.2,196.75,20.415,-0.149,-0.531,-7,2.2,2.21,1.15,2.21,0,48,147,133,44.39648819,-110.5313721,9.1,41.77,0,3724937,0
3725237,196.72,193.9,209.32,87.2,196.83,20.41,-0.081,-0.445,-5,2.2,2.21,2.3,2.21,0,48,145,135,44.39648819,-110.5313721,9.1,41.77,0,3724987,0
3725287,196.72,194.8,209.32,86.7,196.9,20.401,0.091,-0.343,-3,2.2,2.21,2.3,2.21,0,48,143,137,44.39648819,-110.5313721,9.1,41.77,0,3725037,0
3725337,196.72,194.8,209.32,86.7,196.97,20.388,0.179,-0.244,-1,2.2,2.21,2.3,2.21,0,48,141,139,44.39648819,-110.5313721,9.1,41.77,0,3725087,0
3725387,196.72,194.8,209.32,86.9,197.02,20.373,0.156,-0.168,0,2.2,2.21,2.3,2.21,0,48,140,140,44.39648819,-110.5313721,9.1,41.77,0,3725137,0
3725437,196.72,194.8,209.32,86.9,197.07,20.356,0.164,-0.105,2,2.2,2.21,2.3,2.21,0,48,138,142,44.39648819,-110.5313721,9.1,41.77,0,3725187,0
3725487,196.72,192,209.32,86.9,197.1,20.336,0.221,-0.041,3,2.2,2.21,2.3,2.21,0,48,137,143,44.39648819,-110.5313721,9.1,41.77,0,3725237,0
3725537,196.72,192,209.32,86.9,197.11,20.317,0.083,-0.015,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39648438,-110.5313797,9.1,41.77,0,3725287,0
3725587,196.72,192,209.32,87.1,197.13,20.296,0.171,0.022,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39648438,-110.5313797,9.1,41.77,0,3725337,0
3725637,196.72,192,209.32,87.1,197.13,20.276,0.068,0.033,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39648438,-110.5313797,9.1,41.77,0,3725387,0
3725687,196.72,194,209.32,87.2,197.13,20.255,0.049,0.038,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39648438,-110.5313797,9.1,41.77,0,3725437,0
3725737,196.72,194,209.32,87.2,197.12,20.235,-0.05,0.023,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39648438,-110.5313797,9.1,41.77,0,3725487,0
3725787,196.72,194,209.32,87.4,197.1,20.216,-0.123,-0.003,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39648438,-110.5313797,9.1,41.77,0,3725537,0
3725837,196.72,194,209.32,87.4,197.09,20.198,-0.096,-0.019,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39648438,-110.5313797,9.1,41.77,0,3725587,0
3725887,196.72,195.3,209.32,87.4,197.07,20.181,-0.203,-0.053,3,2.2,2.21,2.3,2.21,0,48,137,143,44.39648438,-110.5313797,9.1,41.77,0,3725637,0
3725937,196.72,195.3,209.32,87.4,197.05,20.164,-0.218,-0.083,2,2.2,2.21,2.3,2.21,0,48,138,142,44.39648056,-110.5313797,9.1,41.77,0,3725687,0
3725987,196.72,195.3,209.32,87.4,197.06,20.147,-0.058,-0.077,2,2.2,2.21,2.3,2.21,0,48,138,142,44.39648056,-110.5313797,9.1,41.77,0,3725737,0
3726037,196.72,195.3,209.32,88.3,197.07,20.129,0.03,-0.056,3,2.2,2.21,2.3,2.21,0,48,137,143,44.39648056,-110.5313797,9.1,41.77,0,3725787,0
3726087,196.72,194.8,209.32,88.3,197.1,20.111,0.171,-0.012,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39648056,-110.5313797,9.1,41.77,0,3725837,0
3726137,196.72,194.8,209.32,88.3,197.13,20.09,0.297,0.047,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39648056,-110.5313797,9.1,41.77,0,3725887,0
3726187,196.72,194.8,209.32,88.7,197.16,20.068,0.396,0.114,7,2.2,2.21,2.3,2.21,0,48,133,147,44.39648056,-110.5313797,9.1,41.77,0,3725937,0
3726237,196.72,194.8,209.32,88.7,197.17,20.046,0.293,0.149,7,2.2,2.21,2.3,2.21,0,48,133,147,44.39648056,-110.5313797,9.1,41.77,0,3725987,0
3726287,196.72,195.6,209.32,88.3,197.18,20.023,0.309,0.179,8,2.2,2.21,2.3,2.21,0,48,132,148,44.39648056,-110.5313797,9.1,41.77,0,3726037,0
3726337,196.72,195.6,209.32,88.3,197.19,19.999,0.347,0.212,9,2.2,2.21,2.3,2.21,0,48,131,149,44.39648056,-110.5313797,9.1,41.77,0,3726087,0
3726387,196.72,195.6,209.32,88.1,197.2,19.975,0.415,0.251,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39648056,-110.5313797,9.1,41.77,0,3726137,0
3726437,196.72,195.6,209.32,88.1,197.19,19.952,0.354,0.271,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39648056,-110.5313797,9.1,41.77,0,3726187,0
3726487,196.72,195.4,209.32,88.1,197.18,19.928,0.286,0.274,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39648056,-110.5313797,9.1,41.77,0,3726237,0
3726537,196.72,195.4,209.32,88.1,197.15,19.907,0.118,0.246,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39648056,-110.5313797,9.1,41.77,0,3726287,0
3726587,196.72,195.4,209.32,87.7,197.13,19.887,0.141,0.227,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39648056,-110.5313797,9.1,41.77,0,3726337,0
3726637,196.72,195.4,209.32,87.7,197.09,19.868,0.007,0.186,9,2.2,2.21,2.3,2.21,0,48,131,149,44.39648056,-110.5313797,9.1,41.77,0,3726387,0
3726687,196.72,196.1,209.32,87.6,197.15,19.847,0.846,0.311,12,2.2,2.21,2.3,2.21,0,48,128,152,44.39648056,-110.5313797,9.1,41.77,0,3726437,0
3726737,196.72,196.1,209.32,87.6,197.09,19.828,-0.138,0.227,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39647675,-110.5313873,9.1,41.77,0,3726487,0
3726787,196.72,196.1,209.32,87.6,197.04,19.812,-0.084,0.169,8,2.2,2.21,2.3,2.21,0,48,132,148,44.39647675,-110.5313873,9.1,41.77,0,3726537,0
3726837,196.72,196.1,209.32,87.6,197.02,19.797,0.022,0.142,8,2.2,2.21,2.3,2.21,0,48,132,148,44.39647675,-110.5313873,9.1,41.77,0,3726587,0
3726887,196.72,197,209.32,87.6,197,19.783,0.049,0.125,7,2.2,2.21,2.3,2.21,0,48,133,147,44.39647675,-110.5313873,9.1,41.77,0,3726637,0
3726937,196.72,197,209.32,87.6,197,19.769,0.179,0.135,8,2.2,2.21,2.3,2.21,0,48,132,148,44.39647675,-110.5313873,9.1,41.77,0,3726687,0
3726987,196.72,197,209.32,87.6,197.01,19.755,0.274,0.161,8,2.2,2.21,2.3,2.21,0,48,132,148,44.39647675,-110.5313873,9.1,41.77,0,3726737,0
3727037,196.72,197,209.32,87.4,197.02,19.74,0.339,0.194,9,2.2,2.21,2.3,2.21,0,48,131,149,44.39647675,-110.5313873,9.1,41.77,0,3726787,0
3727087,196.72,193.8,209.32,87.4,197.03,19.724,0.408,0.236,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39647675,-110.5313873,9.1,41.77,0,3726837,0
3727137,196.72,193.8,209.32,87.4,197.03,19.709,0.373,0.263,11,2.2,2.21,2.3,2.21,0,48,129,151,44.39647293,-110.5313873,9.1,41.77,0,3726887,0
3727187,196.72,193.8,209.32,87.4,197.04,19.693,0.488,0.307,12,2.2,2.21,2.3,2.21,0,48,128,152,44.39647293,-110.5313873,9.1,41.77,0,3726937,0
3727237,196.72,193.8,209.32,87.4,197.03,19.677,0.392,0.325,12,2.2,2.21,2.3,2.21,0,48,128,152,44.39647293,-110.5313873,9.1,41.77,0,3726987,0
3727287,196.72,194.6,209.32,87.4,197.02,19.662,0.358,0.332,13,2.2,2.21,2.3,2.21,0,48,127,153,44.39647293,-110.5313873,9.1,41.77,0,3727037,0
3727337,196.72,194.6,209.32,87.4,196.99,19.649,0.309,0.329,13,2.2,2.21,2.3,2.21,0,48,127,153,44.39647293,-110.5313873,9.1,41.77,0,3727087,0
3727387,196.72,194.6,209.32,87.4,196.96,19.637,0.179,0.302,12,2.2,2.21,2.3,2.21,0,48,128,152,44.39647293,-110.5313873,9.1,41.77,0,3727137,0
3727437,196.72,194.6,209.32,87.4,196.91,19.627,-0.02,0.243,11,2.2,2.21,2.3,2.21,0,48,129,151,44.39647293,-110.5313873,9.1,41.77,0,3727187,0
3727487,196.72,196.6,209.32,87.4,196.86,19.62,-0.096,0.179,9,2.2,2.21,2.3,2.21,0,48,131,149,44.39647293,-110.5313873,9.1,41.77,0,3727237,0
3727537,196.72,196.6,209.32,87.6,196.8,19.616,-0.359,0.078,7,2.2,2.21,2.3,2.21,0,48,133,147,44.39646912,-110.5313873,9.1,41.77,0,3727287,0
3727587,196.72,196.6,209.32,87.6,196.72,19.616,-0.603,-0.05,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39646912,-110.5313873,9.1,41.77,0,3727337,0
3727637,196.72,196.6,209.32,88,196.65,19.619,-0.748,-0.181,1,2.2,2.21,2.3,2.21,0,48,139,141,44.39646912,-110.5313873,9.1,41.77,0,3727387,0
3727687,196.72,195.8,209.32,88,196.59,19.625,-0.843,-0.305,-1,2.2,2.21,2.3,2.21,0,48,141,139,44.39646912,-110.5313873,9.1,41.77,0,3727437,0
3727737,196.72,195.8,209.32,87.8,196.55,19.634,-0.878,-0.412,-3,2.2,2.21,2.3,2.21,0,48,143,137,44.39646912,-110.5313873,9.1,41.77,0,3727487,0
3727787,196.72,195.8,209.32,87.8,196.51,19.644,-0.962,-0.515,-6,2.2,2.21,2.3,2.21,0,48,146,134,44.39646912,-110.5313873,9.1,41.77,0,3727537,0
3727837,196.72,195.8,209.32,88,196.48,19.656,-1.057,-0.617,-8,2.2,2.21,2.3,2.21,0,48,148,132,44.39646912,-110.5313873,9.1,41.77,0,3727587,0
3727887,196.72,194.9,209.32,88,196.47,19.668,-0.992,-0.687,-10,2.2,2.21,2.3,2.21,0,48,150,130,44.39646912,-110.5313873,9.1,41.77,0,3727637,0
3727937,196.72,194.9,209.32,88,196.49,19.68,-0.866,-0.72,-11,2.2,2.21,2.3,2.21,0,48,151,129,44.3964653,-110.531395,9.1,41.77,0,3727687,0
3727987,196.72,194.9,209.32,88,196.51,19.69,-0.821,-0.738,-11,2.2,2.21,2.3,2.21,0,48,151,129,44.3964653,-110.531395,9.1,41.77,0,3727737,0
3728037,196.72,194.9,209.32,87.6,196.55,19.699,-0.729,-0.735,-11,2.2,2.21,2.3,2.21,0,48,151,129,44.3964653,-110.531395,9.1,41.77,0,3727787,0
3728087,196.72,195.6,209.32,87.6,196.61,19.704,-0.519,-0.694,-10,2.2,2.21,2.3,2.21,0,48,150,130,44.3964653,-110.531395,9.1,41.77,0,3727837,0
3728137,196.72,195.6,209.32,87.2,196.66,19.707,-0.5,-0.657,-10,2.2,2.21,2.3,2.21,0,48,150,130,44.3964653,-110.531395,9.1,41.77,0,3727887,0
3728187,196.72,195.6,209.32,87.2,196.73,19.707,-0.351,-0.599,-9,2.2,2.21,2.3,2.21,0,48,149,131,44.3964653,-110.531395,9.1,41.77,0,3727937,0
3728237,196.72,195.6,209.32,87.1,196.78,19.704,-0.309,-0.544,-7,2.2,2.21,2.3,2.21,0,48,147,133,44.3964653,-110.531395,9.1,41.77,0,3727987,0
3728287,196.72,191.9,209.32,87.1,196.85,19.697,-0.157,-0.469,-6,2.2,2.21,2.3,2.21,0,48,146,134,44.3964653,-110.531395,9.1,41.77,0,3728037,0
3728337,196.72,191.9,209.32,86.7,196.91,19.688,-0.035,-0.385,-4,2.2,2.21,2.3,2.21,0,48,144,136,44.39646149,-110.531395,9.1,41.77,0,3728087,0
3728387,196.72,191.9,209.32,86.7,196.97,19.675,0,-0.31,-2,2.2,2.21,2.3,2.21,0,48,142,138,44.39646149,-110.531395,9.1,41.77,0,3728137,0
3728437,196.72,191.9,209.32,86.7,197.03,19.66,0.152,-0.221,0,2.2,2.21,2.3,2.21,0,48,140,140,44.39646149,-110.531395,9.1,41.77,0,3728187,0
3728487,196.72,192.7,209.32,86.7,197.08,19.641,0.206,-0.139,0,2.2,2.21,2.3,2.21,0,48,140,140,44.39646149,-110.531395,9.1,41.77,0,3728237,0
3728537,196.72,192.7,209.32,86.7,197.13,19.621,0.251,-0.063,2,2.2,2.21,2.3,2.21,0,48,138,142,44.39646149,-110.531395,9.1,41.77,0,3728287,0
3728587,196.72,192.7,209.32,86.7,197.17,19.598,0.339,0.014,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39646149,-110.531395,9.1,41.77,0,3728337,0
3728637,196.72,192.7,209.32,86.7,197.2,19.575,0.309,0.072,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39646149,-110.531395,9.1,41.77,0,3728387,0
3728687,196.72,194.4,209.32,86.7,197.21,19.55,0.248,0.106,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39646149,-110.531395,9.1,41.77,0,3728437,0
3728737,196.72,194.4,209.32,87.4,197.21,19.525,0.183,0.122,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39646149,-110.531395,9.1,41.77,0,3728487,0
3728787,196.72,194.4,209.32,87.4,197.2,19.501,0.103,0.12,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39646149,-110.531395,9.1,41.77,0,3728537,0
3728837,196.72,194.4,209.32,87.4,197.19,19.478,0.11,0.119,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39646149,-110.531395,9.1,41.77,0,3728587,0
3728887,196.72,194.4,209.32,87.4,197.17,19.455,-0.016,0.095,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39646149,-110.531395,9.1,41.77,0,3728637,0
3728937,196.72,194.4,209.32,87.4,197.15,19.434,-0.046,0.07,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39646149,-110.531395,9.1,41.77,0,3728687,0
3728987,196.72,194.4,209.32,87.4,197.13,19.413,-0.088,0.042,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39646149,-110.531395,9.1,41.77,0,3728737,0
3729037,196.72,194.4,209.32,87.6,197.11,19.394,-0.1,0.016,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39646149,-110.531395,9.1,41.77,0,3728787,0
3729087,196.72,195.3,209.32,87.6,197.19,19.37,0.827,0.17,8,2.2,2.21,2.3,2.21,0,48,132,148,44.39646149,-110.531395,9.1,41.77,0,3728837,0
3729137,196.72,195.3,209.32,88.1,197.15,19.349,-0.138,0.113,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39645767,-110.5314026,9.1,41.77,0,3728887,0
3729187,196.72,195.3,209.32,88.1,197.12,19.328,-0.081,0.077,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39645767,-110.5314026,9.1,41.77,0,3728937,0
3729237,196.72,195.3,209.32,88.1,197.11,19.309,-0.023,0.059,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39645767,-110.5314026,9.1,41.77,0,3728987,0
3729287,196.72,194.1,209.32,88.1,197.09,19.291,-0.115,0.028,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39645767,-110.5314026,9.1,41.77,0,3729037,0
3729337,196.72,194.1,209.32,87.7,197.08,19.273,-0.035,0.018,4,2.2,2.21,2.3,2.21,0,48,136,144,44.39645767,-110.5314026,9.1,41.77,0,3729087,0
3729387,196.72,194.1,209.32,87.7,197.08,19.255,0.068,0.029,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39645767,-110.5314026,9.1,41.77,0,3729137,0
3729437,196.72,194.1,209.32,87.9,197.08,19.237,0.049,0.034,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39645767,-110.5314026,9.1,41.77,0,3729187,0
3729487,196.72,193.6,209.32,87.9,197.08,19.219,0.068,0.042,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39645767,-110.5314026,9.1,41.77,0,3729237,0
3729537,196.72,193.6,209.32,87.4,197.08,19.201,0.099,0.054,5,2.2,2.21,2.3,2.21,0,48,135,145,44.39645767,-110.5314026,9.1,41.77,0,3729287,0
3729587,196.72,193.6,209.32,87.4,197.09,19.183,0.202,0.084,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39645767,-110.5314026,9.1,41.77,0,3729337,0
3729637,196.72,193.6,209.32,87.4,197.09,19.164,0.194,0.106,6,2.2,2.21,2.3,2.21,0,48,134,146,44.39645767,-110.5314026,9.1,41.77,0,3729387,0
3729687,196.72,194.8,209.32,87.4,197.11,19.144,0.347,0.152,7,2.2,2.21,2.3,2.21,0,48,133,147,44.39645767,-110.5314026,9.1,41.77,0,3729437,0
3729737,196.72,194.8,209.32,87.2,197.13,19.124,0.373,0.195,8,2.2,2.21,2.3,2.21,0,48,132,148,44.39645386,-110.5314026,9.1,41.77,0,3729487,0
3729787,196.72,194.8,209.32,87.2,197.15,19.103,0.488,0.251,10,2.2,2.21,2.3,2.21,0,48,130,150,44.39645386,-110.5314026,9.1,41.77,0,3729537,0
3729837,196.72,194.8,209.32,87.2,197.18,19.08,0.701,0.337,12,2.2,2.21,2.3,2.21,0,48,128,152,44.39645386,-110.5314026,9.1,41.77,0,3729587,0
3729887,196.72,193.9,209.32,87.2,197.2,19.056,0.709,0.408,14,2.2,2.21,2.3,2.21,0,48,126,154,44.39645386,-110.5314026,9.1,41.77,0,3729637,0
3729937,196.72,193.9,209.32,87.2,197.22,19.031,0.835,0.49,15,2.2,2.21,2.3,2.21,0,48,125,155,44.39645004,-110.5314026,9.1,41.77,0,3729687,0
3729987,196.72,193.9,209.32,87.4,197.23,19.006,0.797,0.549,17,2.2,2.21,2.3,2.21,0,48,123,157,44.39645004,-110.5314026,9.1,41.77,0,3729737,0
3730037,196.72,193.9,209.32,87.4,197.13,18.985,-0.103,0.428,14,2.2,2.21,2.3,2.21,0,48,126,154,44.39645004,-110.5314026,9.1,41.77,0,3729787,0
3730087,196.72,195.2,209.32,88.1,197.14,18.964,0.728,0.486,16,2.2,2.21,2.3,2.21,0,48,124,156,44.39645004,-110.5314026,9.1,41.77,0,3729837,0
3730137,196.72,195.2,209.32,88.1,197.13,18.944,0.659,0.519,17,2.2,2.21,2.3,2.21,0,48,123,157,44.39645004,-110.5314026,9.1,41.77,0,3729887,0
3730187,196.72,195.2,209.32,87.9,197.1,18.925,0.515,0.519,17,2.2,2.21,2.3,2.21,0,48,123,157,44.39645004,-110.5314026,9.1,41.77,0,3729937,0
3730237,196.72,195.2,209.32,87.9,197.05,18.908,0.286,0.476,16,2.2,2.21,2.3,2.21,0,48,124,156,44.39645004,-110.5314026,9.1,41.77,0,3729987,0
3730287,196.72,198.6,209.32,88.1,196.99,18.895,0.152,0.415,14,2.2,2.21,1.15,2.21,0,48,126,154,44.39645004,-110.5314026,9.1,41.77,0,3730037,0
3730337,196.72,198.6,209.32,88.1,196.93,18.884,-0.054,0.326,12,2.2,2.21,1.15,2.21,0,48,128,152,44.39645004,-110.5314102,9.1,41.77,0,3730087,0
3730387,196.72,198.6,209.32,88.1,196.85,18.878,-0.256,0.216,10,2.2,2.21,1.15,2.21,0,48,130,150,44.39645004,-110.5314102,9.1,41.77,0,3730137,0
3730437,196.72,198.6,209.32,88.1,196.77,18.875,-0.443,0.091,7,2.2,2.21,1.15,2.21,0,48,133,147,44.39645004,-110.5314102,9.1,41.77,0,3730187,0
3730487,196.72,195,209.32,87.8,196.7,18.876,-0.569,-0.032,4,2.2,2.21,1.15,2.21,0,48,136,144,44.39645004,-110.5314102,9.1,41.77,0,3730237,0
3730537,196.72,195,209.32,87.8,196.63,18.881,-0.66,-0.149,2,2.2,2.21,1.15,2.21,0,48,138,142,44.39644623,-110.5314102,9.1,41.77,0,3730287,0
3730587,196.72,195,209.32,87.8,196.58,18.888,-0.756,-0.263,0,2.2,2.21,1.15,2.21,0,48,140,140,44.39644623,-110.5314102,9.1,41.77,0,3730337,0
3730637,196.72,195,209.32,87.8,196.53,18.897,-0.84,-0.37,-2,2.2,2.21,1.15,2.21,0,48,142,138,44.39644623,-110.5314102,9.1,41.77,0,3730387,0
3730687,196.72,193.2,209.32,87.4,196.5,18.908,-0.832,-0.455,-4,2.2,2.21,1.15,2.21,0,48,144,136,44.39644623,-110.5314102,9.1,41.77,0,3730437,0
