Fri Jul 17 08:41:17 2015
It's time to go fishing with the Dailys!!
Setting up CAN0...
CAN0 init ok!!
K = 	4
I = 	9
D = 	23
BitShift K = 	2
BitShift I = 	7
BitShift D = 	4
#:Mode	Millis	Speed	Lat	Long	Head	Final	Goal	Diff	Sum	Drift	Left	Right
1:Man. 	24299	0	0	0	278	0	304	26	1095	8	200	0
1:Man. 	24499	0	0	0	277	0	304	27	1095	8	200	0
1:Man. 	24701	0	0	0	277	0	304	27	1095	8	200	0
1:Man. 	24903	0	0	0	277	0	304	27	1095	8	200	0
1:Man. 	25103	0	0	0	277	0	304	27	1095	8	200	0
1:Man. 	25305	0	0	0	277	0	304	27	1095	8	200	0
1:Man. 	25507	0	0	0	280	0	304	24	1119	8	200	0
1:Man. 	25707	0	0	0	280	0	304	24	1119	8	200	0
1:Man. 	25910	0	0	0	280	0	304	24	1119	8	200	0
1:Man. 	26112	0	0	0	280	0	304	24	1119	8	200	0
1:Man. 	26314	0	0	0	280	0	304	24	1119	8	200	0
1:Man. 	26514	0	0	0	283	0	304	21	1119	8	200	0
1:Man. 	26723	0	0	0	283	0	304	21	1119	8	200	0
1:Man. 	26925	0	0	0	283	0	304	21	1119	8	200	0
1:Man. 	27127	0	0	0	283	0	304	21	1119	8	200	0
1:Man. 	27327	0	0	0	283	0	304	21	1119	8	200	0
1:Man. 	27527	0	0	0	291	0	304	13	1132	8	196	4
1:Man. 	27727	0	0	0	291	0	304	13	1184	9	200	0
1:Man. 	27929	0	0	0	291	0	304	13	1184	9	200	0
1:Man. 	28131	0	0	0	291	0	304	13	1184	9	200	0
1:Man. 	28331	0	0	0	291	0	304	13	1184	9	200	0
1:Man. 	28534	0	0	0	297	0	304	7	1184	9	200	0
1:Man. 	28736	0	0	0	297	0	304	7	1184	9	198	2
1:Man. 	28936	0	0	0	297	0	304	7	1205	9	199	1
1:Man. 	29139	0	0	0	297	0	304	7	1212	9	200	0
1:Man. 	29341	0	0	0	297	0	304	7	1212	9	200	0
1:Man. 	29542	0	0	0	303	0	304	1	1214	9	194	6
1:Man. 	29742	0	0	0	303	0	304	1	1217	9	194	6
1:Man. 	29943	0	0	0	303	0	304	1	1221	9	194	6
1:Man. 	30143	0	0	0	303	0	304	1	1225	9	195	5
1:Man. 	30344	0	0	0	303	0	304	1	1229	9	195	5
1:Man. 	30545	0	0	0	310	0	304	-6	1218	9	187	13
1:Man. 	30752	0	0	0	310	0	304	-6	1194	9	185	15
1:Man. 	30953	0	0	0	310	0	304	-6	1170	9	186	14
1:Man. 	31154	0	0	0	310	0	304	-6	1146	8	184	16
1:Man. 	31354	0	0	0	310	0	304	-6	1128	8	183	17
1:Man. 	31556	0	0	0	319	0	304	-15	1086	8	171	29
1:Man. 	31757	0	0	0	319	0	304	-15	1026	8	167	33
1:Man. 	31958	0	0	0	319	0	304	-15	966	7	164	36
1:Man. 	32161	0	0	0	319	0	304	-15	921	7	161	39
1:Man. 	32362	0	0	0	319	0	304	-15	861	6	157	43
1:Man. 	32564	0	0	0	327	0	304	-23	777	6	143	57
1:Man. 	32764	0	0	0	327	0	304	-23	685	5	137	63
1:Man. 	32964	0	0	0	327	0	304	-23	616	4	131	69
1:Man. 	33166	0	0	0	327	0	304	-23	524	4	124	76
1:Man. 	33367	0	0	0	327	0	304	-23	432	3	118	82
1:Man. 	33567	0	0	0	334	0	304	-30	319	2	103	97
1:Man. 	33768	0	0	0	334	0	304	-30	229	1	97	103
1:Man. 	33969	0	0	0	334	0	304	-30	109	0	87	113
1:Man. 	34169	0	0	0	334	0	304	-30	-16	-1	78	122
1:Man. 	34370	0	0	0	334	0	304	-30	-144	-2	69	131
1:Man. 	34572	0	0	0	341	0	304	-37	-254	-2	55	145
1:Man. 	34779	0	0	0	341	0	304	-37	-410	-4	44	156
1:Man. 	34979	0	0	0	341	0	304	-37	-566	-5	33	167
1:Man. 	35180	0	0	0	341	0	304	-37	-714	-6	22	178
1:Man. 	35381	0	0	0	341	0	304	-37	-819	-7	15	185
1:Man. 	35582	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	35784	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	35984	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	36186	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	36388	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	36588	0	0	0	348	0	304	-44	-974	-8	0	200
1:Man. 	36791	0	0	0	348	0	304	-44	-974	-8	0	200
1:Man. 	36993	0	0	0	348	0	304	-44	-974	-8	0	200
1:Man. 	37194	0	0	0	348	0	304	-44	-974	-8	0	200
1:Man. 	37394	0	0	0	348	0	304	-44	-974	-8	0	200
1:Man. 	37594	0	0	0	347	0	304	-43	-974	-8	0	200
1:Man. 	37795	0	0	0	347	0	304	-43	-974	-8	0	200
1:Man. 	37995	0	0	0	347	0	304	-43	-974	-8	0	200
1:Man. 	38197	0	0	0	347	0	304	-43	-974	-8	0	200
1:Man. 	38400	0	0	0	347	0	304	-43	-974	-8	0	200
1:Man. 	38602	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	38802	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	39004	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	39205	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	39405	0	0	0	346	0	304	-42	-974	-8	0	200
1:Man. 	39605	0	0	0	342	0	304	-38	-974	-8	0	200
1:Man. 	39806	0	0	0	342	0	304	-38	-974	-8	0	200
1:Man. 	40006	0	0	0	342	0	304	-38	-974	-8	0	200
1:Man. 	40215	0	0	0	342	0	304	-38	-974	-8	0	200
